issue_title,product_id,symptoms
Overheating desktop,P1119,Fan running loud; High CPU temps
WiFi not connecting,P1090,Unable to detect networks; Frequent disconnections
Battery draining too fast,P1185,Slow charging; Overheating
USB port not working,P1169,Port loose; Device not detected
Motherboard not booting,P1266,No POST; Beeping sound
Keyboard keys not responding,P1063,Sticky keys; Some keys unresponsive
Keyboard keys not responding,P1114,Sticky keys; Multiple characters typed
External HDD not detected,P1261,LED blinking; Clicking noise
Overheating desktop,P1215,System shuts down suddenly; High CPU temps
SSD not recognized,P1247,Not visible in BIOS; Drive missing in Disk Manager
Blue screen error,P1246,System freeze; Windows stop code displayed
Keyboard keys not responding,P1162,Some keys unresponsive; Multiple characters typed
Headset no sound,P1291,Audio not detected; Mic working but no sound
Mouse lagging,P1025,Cursor stuttering; Random disconnections
Headset no sound,P1176,Mic working but no sound; Distorted sound
Mouse lagging,P1172,Unresponsive clicks; Random disconnections
Graphics card driver crash,P1291,Driver stopped responding; Artifacts on screen
Keyboard keys not responding,P1055,Multiple characters typed; Some keys unresponsive
Battery draining too fast,P1228,Battery lasts less than 1 hour; Slow charging
Laptop not powering on,P1201,Unresponsive power button; No fan sound
Battery draining too fast,P1292,Battery lasts less than 1 hour; Overheating
Keyboard keys not responding,P1117,Sticky keys; Multiple characters typed
Battery draining too fast,P1214,Overheating; Battery lasts less than 1 hour
Mouse lagging,P1245,Random disconnections; Unresponsive clicks
Blue screen error,P1177,System freeze; Windows stop code displayed
Mouse lagging,P1228,Random disconnections; Cursor stuttering
USB port not working,P1280,Port loose; Power but no data transfer
Battery draining too fast,P1288,Slow charging; Battery lasts less than 1 hour
Keyboard keys not responding,P1291,Some keys unresponsive; Multiple characters typed
Fan making noise,P1176,High RPM constantly; Rattling inside case
Battery draining too fast,P1056,Slow charging; Battery lasts less than 1 hour
WiFi not connecting,P1081,Unable to detect networks; Frequent disconnections
Headset no sound,P1273,Audio not detected; Distorted sound
Laptop not powering on,P1235,Unresponsive power button; No fan sound
Mouse lagging,P1274,Random disconnections; Cursor stuttering
Headset no sound,P1054,Distorted sound; Mic working but no sound
Monitor flickering,P1165,Visible scan lines; Screen flickers intermittently
Overheating desktop,P1023,Fan running loud; High CPU temps
